{ 'src':'84.3.114.100', 'spt':'8784', 'dst':'68.8.8.74', 'dpt':'29392', 'app':'UDP', 'rs':'561', 'rl':'39', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
{ 'src':'73.161.71.218', 'spt':'50997', 'dst':'65.8.8.206', 'dpt':'35406', 'app':'UDP', 'rs':'497', 'rl':'151', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'174.118.31.104', 'spt':'23698', 'dst':'182.8.8.109', 'dpt':'36699', 'app':'UDP', 'rs':'464', 'rl':'199', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'179.224.239.73', 'spt':'37622', 'dst':'171.8.8.140', 'dpt':'49037', 'app':'TCP', 'rs':'1225', 'rl':'3', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'25.53.72.214', 'spt':'48041', 'dst':'8.8.8.124', 'dpt':'1050', 'app':'TCP', 'rs':'624', 'rl':'25', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'125.10.32.100', 'spt':'42083', 'dst':'253.8.8.27', 'dpt':'14267', 'app':'TCP', 'rs':'514', 'rl':'193', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'242.168.244.219', 'spt':'9671', 'dst':'90.8.8.139', 'dpt':'59754', 'app':'UDP', 'rs':'1204', 'rl':'150', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'87.125.204.105', 'spt':'59545', 'dst':'191.8.8.223', 'dpt':'41945', 'app':'TCP', 'rs':'276', 'rl':'74', 'ipv':'IPv4', 'atz':'India', 'dtz':'Japan' }
{ 'src':'212.2.159.85', 'spt':'14133', 'dst':'60.8.8.99', 'dpt':'65111', 'app':'TCP', 'rs':'1106', 'rl':'89', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'90.107.112.180', 'spt':'24305', 'dst':'185.8.8.231', 'dpt':'30720', 'app':'TCP', 'rs':'996', 'rl':'100', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'71.165.198.183', 'spt':'49187', 'dst':'190.8.8.82', 'dpt':'54008', 'app':'UDP', 'rs':'173', 'rl':'104', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'76.143.151.23', 'spt':'31446', 'dst':'211.8.8.133', 'dpt':'51736', 'app':'TCP', 'rs':'1042', 'rl':'60', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'185.200.110.153', 'spt':'27994', 'dst':'49.8.8.117', 'dpt':'42039', 'app':'UDP', 'rs':'1276', 'rl':'158', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'78.125.60.98', 'spt':'48950', 'dst':'182.8.8.222', 'dpt':'29541', 'app':'UDP', 'rs':'1533', 'rl':'199', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'36.28.65.219', 'spt':'64407', 'dst':'27.8.8.200', 'dpt':'43749', 'app':'TCP', 'rs':'1024', 'rl':'180', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
{ 'src':'202.238.238.213', 'spt':'2183', 'dst':'58.8.8.54', 'dpt':'16850', 'app':'TCP', 'rs':'522', 'rl':'90', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'71.115.194.193', 'spt':'63597', 'dst':'183.8.8.186', 'dpt':'35805', 'app':'UDP', 'rs':'398', 'rl':'57', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'69.246.21.44', 'spt':'25152', 'dst':'20.8.8.169', 'dpt':'55215', 'app':'UDP', 'rs':'631', 'rl':'73', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'74.97.229.13', 'spt':'59073', 'dst':'25.8.8.147', 'dpt':'7942', 'app':'TCP', 'rs':'582', 'rl':'89', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'166.80.63.166', 'spt':'63407', 'dst':'23.8.8.23', 'dpt':'25014', 'app':'TCP', 'rs':'140', 'rl':'61', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'155.239.148.29', 'spt':'14178', 'dst':'147.8.8.28', 'dpt':'12875', 'app':'TCP', 'rs':'1559', 'rl':'157', 'ipv':'IPv4', 'atz':'India', 'dtz':'Japan' }
{ 'src':'136.169.234.159', 'spt':'1831', 'dst':'9.8.8.187', 'dpt':'3850', 'app':'UDP', 'rs':'1206', 'rl':'38', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'47.40.180.81', 'spt':'61717', 'dst':'150.8.8.138', 'dpt':'33153', 'app':'UDP', 'rs':'359', 'rl':'171', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'171.172.7.61', 'spt':'13873', 'dst':'43.8.8.62', 'dpt':'43665', 'app':'UDP', 'rs':'1424', 'rl':'42', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'184.123.214.145', 'spt':'49368', 'dst':'168.8.8.194', 'dpt':'35135', 'app':'TCP', 'rs':'800', 'rl':'100', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'165.181.45.148', 'spt':'39352', 'dst':'149.8.8.252', 'dpt':'6857', 'app':'TCP', 'rs':'1184', 'rl':'15', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'146.238.131.22', 'spt':'44097', 'dst':'138.8.8.155', 'dpt':'52139', 'app':'TCP', 'rs':'1556', 'rl':'145', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'136.15.87.141', 'spt':'24996', 'dst':'119.8.8.213', 'dpt':'56727', 'app':'TCP', 'rs':'1215', 'rl':'67', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'USA' }
{ 'src':'236.99.176.27', 'spt':'4875', 'dst':'212.8.8.69', 'dpt':'13149', 'app':'TCP', 'rs':'223', 'rl':'38', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'209.56.136.168', 'spt':'61793', 'dst':'66.8.8.127', 'dpt':'31013', 'app':'TCP', 'rs':'270', 'rl':'54', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'63.113.222.43', 'spt':'37020', 'dst':'47.8.8.184', 'dpt':'48472', 'app':'TCP', 'rs':'213', 'rl':'1', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'188.245.49.23', 'spt':'14083', 'dst':'163.8.8.88', 'dpt':'38821', 'app':'UDP', 'rs':'128', 'rl':'160', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'25.229.11.176', 'spt':'18525', 'dst':'9.8.8.45', 'dpt':'43919', 'app':'UDP', 'rs':'1440', 'rl':'30', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'38.180.90.5', 'spt':'17035', 'dst':'142.8.8.22', 'dpt':'37262', 'app':'UDP', 'rs':'564', 'rl':'153', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'52.131.169.217', 'spt':'17226', 'dst':'155.8.8.228', 'dpt':'1868', 'app':'UDP', 'rs':'1474', 'rl':'192', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'217.130.115.139', 'spt':'43978', 'dst':'192.8.8.227', 'dpt':'56230', 'app':'UDP', 'rs':'922', 'rl':'31', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'119.155.63.73', 'spt':'62103', 'dst':'94.8.8.252', 'dpt':'30856', 'app':'TCP', 'rs':'239', 'rl':'95', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'53.74.131.88', 'spt':'15716', 'dst':'148.8.8.197', 'dpt':'47843', 'app':'UDP', 'rs':'487', 'rl':'30', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'177.205.214.195', 'spt':'62701', 'dst':'90.8.8.90', 'dpt':'3887', 'app':'TCP', 'rs':'1389', 'rl':'12', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'103.150.156.223', 'spt':'9304', 'dst':'206.8.8.248', 'dpt':'33752', 'app':'UDP', 'rs':'962', 'rl':'150', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'101.27.239.74', 'spt':'56252', 'dst':'108.8.8.18', 'dpt':'32482', 'app':'UDP', 'rs':'1269', 'rl':'193', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'106.133.65.43', 'spt':'7473', 'dst':'209.8.8.230', 'dpt':'43145', 'app':'UDP', 'rs':'459', 'rl':'94', 'ipv':'IPv4', 'atz':'India', 'dtz':'Japan' }
{ 'src':'239.110.18.138', 'spt':'5832', 'dst':'78.8.8.107', 'dpt':'57367', 'app':'UDP', 'rs':'178', 'rl':'41', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'243.216.226.106', 'spt':'38718', 'dst':'92.8.8.58', 'dpt':'29771', 'app':'TCP', 'rs':'1124', 'rl':'166', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'121.193.179.75', 'spt':'55922', 'dst':'105.8.8.9', 'dpt':'18734', 'app':'UDP', 'rs':'781', 'rl':'88', 'ipv':'IPv4', 'atz':'USA', 'dtz':'USA' }
{ 'src':'111.224.9.193', 'spt':'34413', 'dst':'94.8.8.167', 'dpt':'45696', 'app':'UDP', 'rs':'794', 'rl':'110', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'92.27.94.68', 'spt':'57485', 'dst':'75.8.8.98', 'dpt':'1918', 'app':'TCP', 'rs':'1006', 'rl':'168', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'USA' }
{ 'src':'97.4.48.36', 'spt':'48273', 'dst':'208.8.8.76', 'dpt':'64042', 'app':'TCP', 'rs':'931', 'rl':'92', 'ipv':'IPv4', 'atz':'India', 'dtz':'Japan' }
{ 'src':'197.217.8.177', 'spt':'20980', 'dst':'189.8.8.133', 'dpt':'50401', 'app':'TCP', 'rs':'511', 'rl':'129', 'ipv':'IPv4', 'atz':'India', 'dtz':'Japan' }
{ 'src':'178.19.222.52', 'spt':'61904', 'dst':'170.8.8.191', 'dpt':'57569', 'app':'UDP', 'rs':'177', 'rl':'118', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'Japan' }
{ 'src':'48.151.49.159', 'spt':'1863', 'dst':'151.8.8.248', 'dpt':'44817', 'app':'UDP', 'rs':'388', 'rl':'52', 'ipv':'IPv4', 'atz':'USA', 'dtz':'Japan' }
{ 'src':'157.209.135.162', 'spt':'45951', 'dst':'21.8.8.125', 'dpt':'54451', 'app':'UDP', 'rs':'1083', 'rl':'98', 'ipv':'IPv4', 'atz':'SriLanka', 'dtz':'Japan' }
{ 'src':'162.59.88.2', 'spt':'40031', 'dst':'10.8.8.157', 'dpt':'49614', 'app':'UDP', 'rs':'241', 'rl':'6', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Japan' }
