{ 'src':'43.2.9.2', 'spt':'1031', 'dst':'8.1.10.7', 'dpt':'711', 'app':'TCP', 'rs':'943', 'rl':'28', 'ipv':'IPv4', 'atz':'India', 'dtz':'India' }
{ 'src':'43.1.9.2', 'spt':'1028', 'dst':'8.2.10.7', 'dpt':'576', 'app':'UDP', 'rs':'562', 'rl':'7', 'ipv':'IPv6', 'atz':'USA', 'dtz':'India' }
{ 'src':'43.2.9.2', 'spt':'1029', 'dst':'8.1.10.7', 'dpt':'163', 'app':'UDP', 'rs':'279', 'rl':'55', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'Argentina' }
{ 'src':'43.1.9.3', 'spt':'1034', 'dst':'8.2.10.7', 'dpt':'941', 'app':'UDP', 'rs':'221', 'rl':'41', 'ipv':'IPv6', 'atz':'Japan', 'dtz':'USA' }
{ 'src':'43.2.9.2', 'spt':'1030', 'dst':'8.1.10.7', 'dpt':'713', 'app':'UDP', 'rs':'1479', 'rl':'7', 'ipv':'IPv4', 'atz':'India', 'dtz':'India' }
{ 'src':'43.1.9.3', 'spt':'1033', 'dst':'8.2.10.7', 'dpt':'585', 'app':'TCP', 'rs':'635', 'rl':'150', 'ipv':'IPv4', 'atz':'London', 'dtz':'Denmark' }
{ 'src':'43.2.9.3', 'spt':'1026', 'dst':'8.1.10.7', 'dpt':'177', 'app':'UDP', 'rs':'769', 'rl':'142', 'ipv':'IPv6', 'atz':'London', 'dtz':'Egypt' }
{ 'src':'43.2.9.3', 'spt':'1026', 'dst':'8.2.10.7', 'dpt':'185', 'app':'TCP', 'rs':'759', 'rl':'73', 'ipv':'IPv4', 'atz':'London', 'dtz':'USA' }
{ 'src':'43.1.9.2', 'spt':'1029', 'dst':'8.2.10.7', 'dpt':'375', 'app':'UDP', 'rs':'752', 'rl':'31', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'India' }
{ 'src':'43.1.9.3', 'spt':'1030', 'dst':'8.1.10.7', 'dpt':'94', 'app':'UDP', 'rs':'201', 'rl':'108', 'ipv':'IPv6', 'atz':'Bahrain', 'dtz':'Egypt' }
{ 'src':'43.2.9.3', 'spt':'1032', 'dst':'8.2.10.7', 'dpt':'921', 'app':'UDP', 'rs':'228', 'rl':'30', 'ipv':'IPv4', 'atz':'Argentina', 'dtz':'Egypt' }
{ 'src':'43.2.9.2', 'spt':'1032', 'dst':'8.2.10.7', 'dpt':'494', 'app':'TCP', 'rs':'816', 'rl':'100', 'ipv':'IPv4', 'atz':'India', 'dtz':'USA' }
{ 'src':'43.2.9.2', 'spt':'1035', 'dst':'8.1.10.7', 'dpt':'900', 'app':'UDP', 'rs':'516', 'rl':'196', 'ipv':'IPv6', 'atz':'Argentina', 'dtz':'Argentina' }
{ 'src':'43.2.9.3', 'spt':'1032', 'dst':'8.2.10.7', 'dpt':'433', 'app':'UDP', 'rs':'775', 'rl':'106', 'ipv':'IPv4', 'atz':'Japan', 'dtz':'London' }
{ 'src':'43.1.9.2', 'spt':'1033', 'dst':'8.2.10.7', 'dpt':'423', 'app':'TCP', 'rs':'916', 'rl':'149', 'ipv':'IPv6', 'atz':'Chile', 'dtz':'Argentina' }
{ 'src':'43.2.9.2', 'spt':'1027', 'dst':'8.1.10.7', 'dpt':'684', 'app':'TCP', 'rs':'770', 'rl':'22', 'ipv':'IPv4', 'atz':'London', 'dtz':'USA' }
{ 'src':'43.1.9.2', 'spt':'1028', 'dst':'8.1.10.7', 'dpt':'970', 'app':'UDP', 'rs':'688', 'rl':'131', 'ipv':'IPv4', 'atz':'London', 'dtz':'Denmark' }
